Disease	SEX	AGE	1%	3%	5%	10%	15%	20%	30%	40%	50%	60%	70%	80%	85%	90%	95%	98%	100%
DEATH	1	<40	1.584	1.742	1.821	2.137	2.369	2.455	2.613	2.771	2.929	3.020	3.166	3.334	3.416	3.592	3.778	4.003	4.565
DEATH	1	40-44	3.167	3.167	3.240	3.319	3.326	3.404	3.483	3.495	3.574	3.723	3.812	4.004	4.152	4.243	4.402	4.569	4.961
DEATH	1	45-49	3.563	3.563	3.636	3.714	3.722	3.800	3.879	3.891	4.030	4.120	4.208	4.455	4.548	4.637	4.798	4.965	5.290
DEATH	1	50-54	3.952	3.959	4.031	4.111	4.117	4.196	4.275	4.287	4.426	4.518	4.606	4.844	4.944	5.033	5.193	5.358	5.686
DEATH	1	55-59	4.348	4.355	4.427	4.505	4.512	4.585	4.664	4.676	4.755	4.835	4.993	5.157	5.260	5.352	5.510	5.678	6.228
DEATH	1	>=60	4.751	4.823	4.901	4.909	4.988	5.068	5.158	5.304	5.384	5.473	5.621	5.772	5.869	6.010	6.211	6.473	7.612
DEATH	2	<40	0.897	0.976	1.133	1.372	1.530	1.688	1.847	2.005	2.084	2.242	2.322	2.401	2.479	2.571	2.729	2.912	3.957
DEATH	2	40-44	2.480	2.480	2.480	2.480	2.559	2.559	2.639	2.717	2.718	2.797	2.875	2.954	3.044	3.118	3.227	3.463	4.353
DEATH	2	45-49	2.876	2.876	2.876	2.876	2.955	2.955	3.034	3.113	3.114	3.193	3.271	3.350	3.362	3.509	3.604	3.794	4.749
DEATH	2	50-54	3.272	3.272	3.272	3.344	3.351	3.351	3.430	3.510	3.510	3.589	3.667	3.746	3.758	3.838	3.984	4.177	4.999
DEATH	2	55-59	3.668	3.668	3.668	3.668	3.747	3.747	3.826	3.904	3.905	3.985	3.996	4.142	4.154	4.233	4.313	4.459	5.462
DEATH	2	>=60	4.064	4.064	4.064	4.143	4.221	4.222	4.301	4.392	4.532	4.617	4.696	4.788	4.867	5.013	5.172	5.488	6.926
t2d	1	<40	0.744	1.318	1.450	1.757	1.978	2.109	2.307	2.482	2.614	2.812	3.010	3.218	3.350	3.482	3.617	3.815	4.041
t2d	1	40-44	2.160	2.637	2.637	2.769	2.834	2.900	3.076	3.167	3.279	3.474	3.680	3.878	3.944	4.015	4.145	4.210	4.371
t2d	1	45-49	2.695	2.966	2.966	3.098	3.164	3.230	3.405	3.497	3.609	3.740	4.010	4.188	4.273	4.345	4.474	4.540	4.700
t2d	1	50-54	3.059	3.296	3.362	3.428	3.494	3.560	3.735	3.826	3.938	4.070	4.230	4.471	4.603	4.674	4.804	4.870	5.030
t2d	1	55-59	3.625	3.625	3.691	3.757	3.823	3.889	4.027	4.130	4.262	4.331	4.491	4.735	4.866	4.961	5.098	5.180	5.359
